,Artist name,Title of Artwork,Artwork type,Auction,Location,Closed date,Currency,low Estimate,high Estimate,Price realised,Details,Website link
22,PABLO PICASSO,femme peintre et modèle,Impressionist & Modern Art,Sotheby's,Paris,13–23 October 2023 ,EUR,50000,70000,76200,"Property from a Distinguished Private Swiss Collection Pablo Picasso 1881 - 1973 Femme peintre et modèle dated 20.1.54., numbered V and signed Picasso (upper right) India ink on paper 24 x 32,1 cm; 9½ x 12⅝ in. Executed on January 20, 1954. __________________________________________________________________________ Provenant d'une Prestigieuse Collection Particulière Suisse Pablo Picasso 1881 - 1973 Femme peintre et modèle daté 20.1.54., numéroté V et signé Picasso (en haut à droite) encre de Chine sur papier 24 x 32,1 cm; 9½ x 12⅝ in. Exécuté le 20 janvier 1954.",https://www.sothebys.com/en/buy/auction/2023/art-impressionniste-et-moderne-day-auction-2/femme-peintre-et-modele
23,PABLO PICASSO,poisson chiné,Impressionist & Modern Art,Sotheby's,Paris,13–23 October 2023 ,EUR,6500,8500,19050,"Property from a Private French Collection Pablo Picasso 1881-1973 Poisson chiné (A. R. 170) with the EMPREINTE ORIGINALE DE PICASSO and MADOURA PLEIN FEU stamps terre de faïence plate partially glazed and painted 34,8 x 42,5 cm; 13¾ x 16¾ in. Executed in 1952 in an edition of 200. __________________________________________________________________________ Provenant d'une Collection Particulière Française Pablo Picasso 1881-1973 Poisson chiné (A. R. 170) porte les cachets EMPREINTE ORIGINALE DE PICASSO et MADOURA PLEIN FEU plat en terre de faïence, partiellement émaillé et peint 34,8 x 42,5 cm; 13¾ x 16¾ in. Exécuté en 1952 dans une édition de 200 exemplaires.",https://www.sothebys.com/en/buy/auction/2023/art-impressionniste-et-moderne-day-auction-2/poisson-chine
24,PABLO PICASSO,personnage de profil (jacqueline),Impressionist & Modern Art,Sotheby's,Paris,20 October 2023 ,EUR,150000,200000,152400,"Pablo Picasso 1881 - 1973 Personnage de profil (Jacqueline) dedicated Pour Henri Matarasso, signed son ami Picasso and dated le 13.12.60. (upper left) ink on paper 35 x 25 cm; 13¾ x 9⅞ in. Executed on December 13, 1960. Claude Picasso and Maya Widmaier-Picasso have confirmed the authenticity of this work. __________________________________________________________________________ Pablo Picasso 1881 - 1973 Personnage de profil (Jacqueline) dédicacé Pour Henri Matarasso, signé son ami Picasso et daté le 13.12.60. (en haut à gauche) encre sur papier 35 x 25 cm; 13¾ x 9⅞ in. Exécuté le 13 décembre 1960. Claude Picasso et Maya Widmaier-Picasso ont confirmé l'authenticité de cette œuvre.",https://www.sothebys.com/en/buy/auction/2023/art-impressionniste-et-moderne-evening-auction-3/personnage-de-profil-jacqueline
25,PABLO PICASSO,pierrot. buste.,Impressionist & Modern Art,Sotheby's,Paris,20 October 2023 ,EUR,150000,200000,,"Property from a Private European Collection Pablo Picasso 1881 - 1973 Pierrot. Buste. dated 9.1.71., numbered II and signed Picasso (upper left) ink and pencils on cardboard 31 x 21,9 cm; 12¼ x 8⅝ in. Executed on January 9, 1971. __________________________________________________________________________ Provenant d'une Collection Particulière Européenne Pablo Picasso 1881 - 1973 Pierrot. Buste. daté 9.1.71., numéroté II et signé Picasso (en haut à gauche) encre et crayons sur carton 31 x 21,9 cm; 12¼ x 8⅝ in. Exécuté le 9 janvier 1971.",https://www.sothebys.com/en/buy/auction/2023/art-impressionniste-et-moderne-evening-auction-3/pierrot-buste
26,PABLO PICASSO,l'arène,Impressionist & Modern Art,Sotheby's,Paris,20 October 2023 ,EUR,150000,250000,165100,"Property from a Private European Collection Pablo Picasso 1881 - 1973 L'Arène signed Picasso and dated 1.6.60 (upper left) ink on paper 30 x 79,2 cm; 11¾ x 31⅛ in. Executed on June 1st, 1960. ________________________________________________________________________________________ Provenant d'une Collection Particulière Européenne Pablo Picasso 1881 - 1973 L'Arène signé Picasso et daté 1.6.60 (en haut à gauche) encre sur papier 30 x 79,2 cm; 11¾ x 31⅛ in. Exécuté le 1er juin 1960.",https://www.sothebys.com/en/buy/auction/2023/art-impressionniste-et-moderne-evening-auction-3/larene
27,PABLO PICASSO,deux personnages,Impressionist & Modern Art,Sotheby's,Paris,20 October 2023 ,EUR,70000,100000,88900,"Property from a Distinguished Private Swiss Collection Pablo Picasso 1881 - 1973 Deux personnages signed Picasso, dated 24. 1. 54 and numbered IV (upper right) India in on paper 23,9 x 32,4 cm; 9½ x 12¾ in. Executed on January 24, 1954. __________________________________________________________________________ Provenant d'une Prestigieuse Collection Particulière Suisse Pablo Picasso 1881 - 1973 Deux personnages signé Picasso, daté 24. 1. 54 et numéroté IV (en haut à droite) encre de Chine sur papier 23,9 x 32,4 cm; 9½ x 12¾ in. Exécuté le 24 janvier 1954.",https://www.sothebys.com/en/buy/auction/2023/art-impressionniste-et-moderne-evening-auction-3/deux-personnages
28,PABLO PICASSO,tête de femme (marie-thérèse),Impressionist & Modern Art,Sotheby's,Paris,19 October 2023 ,EUR,350000,550000,381000,"Property from a Private Parisian Collection Pablo Picasso 1881 - 1973 Tête de femme (Marie-Thérèse) signed Picasso (lower right); situated Paris and dated 18 janvier XXXIV (upper right) ink and wash on paper 25,5 x 32,5 cm; 10 x 12¾ in. Executed in Paris on January 18, 1934. Claude Picasso has confirmed the authenticity of this work. __________________________________________________________________________ Provenant d'une Collection Particulière Parisienne Pablo Picasso 1881 - 1973 Tête de femme (Marie-Thérèse) signé Picasso (en bas à droite); situé Paris et daté 18 janvier XXXIV (en haut à droite) encre et lavis sur papier 25,5 x 32,5 cm; 10 x 12¾ in. Exécuté à Paris le 18 janvier 1934. Claude Picasso a confirmé l'authenticité de cette œuvre.",https://www.sothebys.com/en/buy/auction/2023/modernites/tete-de-femme-marie-therese
29,PABLO PICASSO,nature morte aux pommes et au verre,Impressionist & Modern Art,Sotheby's,Paris,19 October 2023 ,EUR,500000,700000,609600,"Property from an Important Private Italian Collection Pablo Picasso 1881 - 1973 Nature morte aux pommes et au verre signed PICASSO (along the lower edge) oil on canvas 22,2 x 16,3 cm; 8¾ x 6⅜ in. Painted in 1914. The original certificate by Pablo Picasso has been lost. The work is recorded in the archives of the Picasso Administration. _________________________________________________________________________ Provenant d'une Importante Collection Particulière Italienne Pablo Picasso 1881 - 1973 Nature morte aux pommes et au verre signé PICASSO (le long du bord inférieur) huile sur toile 22,2 x 16,3 cm; 8¾ x 6⅜ in. Peint en 1914. Le certificat original de Pablo Picasso a été perdu. L'œuvre est enregistrée dans les archives de l'Administration Picasso.",https://www.sothebys.com/en/buy/auction/2023/modernites/nature-morte-aux-pommes-et-au-verre
30,PABLO PICASSO,corrida (a. r. 181),Prints,Sotheby's,London,10–17 October 2023 ,GBP,4000,6000,,"Pablo Picasso 1881 - 1973 Corrida (A. R. 181) with the Empreinte Originale de Picasso and Madoura stamps terre de faïence dish, partially glazed and painted diameter: 425 mm. 16¾ in. Executed in 1953; this work is from the edition of 200.",https://www.sothebys.com/en/buy/auction/2023/modern-discoveries-5/corrida-a-r-181
31,PABLO PICASSO,corrida sur fond noir (a. r. 198),Prints,Sotheby's,London,10–17 October 2023 ,GBP,5000,7000,,"Pablo Picasso 1881 - 1973 Corrida sur fond noir (A. R. 198) with the Edition Picasso and Madoura stamps Terre de faïence dish, glazed and painted length: 390 mm. 15⅜ in. Executed in 1953; this work is from the edition of 500.",https://www.sothebys.com/en/buy/auction/2023/modern-discoveries-5/corrida-sur-fond-noir-a-r-198
